id;title;description;type;content
1;агент Berkshire;лазурный;LINK;Bedfordshire knowledge сенсорный
2;De-engineered;deposit инженер;FILE;область Йемен proactive
3;SSL;Венесуэла Большой Электроника;LINK;Маленький withdrawal
4;багровый сохранить;Кошелек Международный intermediate;LINK;frictionless
5;пл.;пл.;FILE;Ножницы out-of-the-box Triple-buffered
6;Портмоне Ботинок;соединение USB;FILE;Кировская Республика
7;маркетинговый свободно-распростроняемый;Digitized пр. impactful;LINK;Невероятный
8;content;импортировать;FILE;best-of-breed Down-sized
9;агент Loan;обойти Distributed;FILE;поглотитель Grass-roots красно-пурпурный
10;пурпурный;Лесото strategic;FILE;Savings
