id;job_title;min_salary;max_salary
1;Областной страховой агент;36593;95887
2;Международный интеграционный сотрудник;69364;96146
3;Областной коммуникационный аналитик;28833;38525
4;Областной коммуникационный аналитик;63765;82
5;Международный интеграционный инженер;91153;63563
6;Областной оптимизационный аналитик;15212;26854
7;Районный интеграционный руководитель;9604;77867
8;Международный коммуникационный инженер;37364;108
9;Национальный страховой координатор;21485;35317
10;Генеральный оптимизационный сотрудник;84104;80937
