id;street_address;postal_code;city;state_province
1;Secured интеграционный;Словения код Ирландия;West Hopefort;Меховой Габон
2;installation Районный индексирование;Центральный;Lake Jovanburgh;Gold harness
3;нейронный;e-commerce Reverse-engineered логистический;South Douglasfort;Меха
4;розовый;PNG;East Connermouth;Fuerte Галантерея
5;17(E.U.A.-17) Резиновый Гвинея;analyzer;Брянск;extend help-desk Cambridgeshire
6;Exclusive cutting-edge;compelling детское;Easterton;Центральный мобильный
7;infomediaries Йемен Практичный;Курганская XSS;Roelchester;Автомобильное Клатч
8;Практичный Районный;индексировать малышей функциональный;East Colemanland;blockchains
9;Лоснящийся Пакистан вычислить;внутренний withdrawal;Денисоваland;соединение пр. улица
10;улица операционный;viral Investment сенсорный;Саратов;withdrawal переопределение
